,cc,NZ,N,Z,A,el,o,mass,mass_err,binding,binding_err,B,beta,beta_err,u,atomic_mass,atomic_mass_err,umass,umass_err,precision,abundancy,halflife
15,,0,3,3,6,Li,,14086.88044,0.00144,5332.3312,0.0003,B-,-4288.1534,5.4478,6,15122.88742,0.00155,6.01512288742,1.5499999999999998e-09,2.576838460344115e-10,7.8,inf
16,,-2,2,4,6,Be,-,18375.034,5.448,4487.2478,0.908,B-,-28945.0,2003.0,6,19726.409,5.848,6.0197264090000004,5.848e-06,9.714727219590486e-07,0.0,5e-21
17,,-4,1,5,6,B,x,47320.0,2003.0,-467.0,334.0,B-,,,6,50800.0,2150.0,6.0508,0.00215,0.0003553249157136247,0.0,0.0
18,0,5,6,1,7,H,-nn,49135.0,1004.0,940.0,143.0,B-,23062.0,1004.0,7,52749.0,1078.0,7.052749,0.001078,0.0001528482014601682,0.0,5e-16
19,,3,5,2,7,He,-n,26073.128,7.559,4123.0578,1.0799,B-,11166.0229,7.5595,7,27990.652,8.115,7.027990652,8.115e-06,1.1546685819353876e-06,0.0,2.51e-21
20,,1,4,3,7,Li,,14907.10463,0.00419,5606.4401,0.0006,B-,-861.893,0.0707,7,16003.43426,0.0045,7.01600343426,4.5e-09,6.413907920891189e-10,92.2,inf
21,,-1,3,4,7,Be,,15768.998,0.071,5371.5487,0.0101,B-,-11907.5551,25.1504,7,16928.714,0.076,7.016928714,7.599999999999999e-08,1.0830949422126337e-08,0.0,4598208.0
22,,-3,2,5,7,B,p4n,27676.553,25.15,3558.7055,3.5929,B-,,,7,29712.0,27.0,7.029712,2.7e-05,3.840840136836331e-06,0.0,5.7e-22
23,0,4,6,2,8,He,,31609.683,0.089,3924.521,0.0111,B-,10663.8784,0.1005,8,33934.388,0.095,8.033934388,9.499999999999999e-08,1.1824841405463565e-08,0.0,0.1191
24,,2,5,3,8,Li,,20945.805,0.047,5159.7124,0.0059,B-,16004.1329,0.0591,8,22486.244,0.05,8.022486244,5e-08,6.232481861517045e-09,0.0,0.8394
25,,0,4,4,8,Be,-a,4941.672,0.035,7062.4356,0.0044,B-,-17979.8973,1.0005,8,5305.102,0.037,8.005305102,3.6999999999999994e-08,4.621935020409919e-09,0.0,6.7e-17
26,,-2,3,5,8,B,,22921.569,1.0,4717.1551,0.125,B-,-12142.7002,18.2704,8,24607.315,1.073,8.024607315,1.073e-06,1.337137080831724e-07,0.0,0.77
27,,-4,2,6,8,C,,35064.269,18.243,3101.5242,2.2804,B-,,,8,37643.039,19.584,8.037643039,1.9583999999999997e-05,2.4365351764161613e-06,0.0,3.5e-21
28,0,5,7,2,9,He,,40935.826,46.816,3349.038,5.2018,B-,15980.9213,46.8169,9,43946.414,50.259,9.043946414,5.0259e-05,5.557197897833542e-06,0.0,2.5e-21
29,,3,6,3,9,Li,-3n,24954.905,0.186,5037.7685,0.0207,B-,13606.4541,0.2014,9,26790.191,0.2,9.026790191,2e-07,2.21562699218828e-08,0.0,0.1783
30,,1,5,4,9,Be,,11348.451,0.076,6462.6693,0.0085,B-,-1068.0349,0.8994,9,12183.062,0.082,9.012183062,8.2e-08,9.098794313861e-09,100.0,inf
31,,-1,4,5,9,B,-,12416.486,0.903,6257.0713,0.1003,B-,-16494.4854,2.3195,9,13329.645,0.969,9.013329645,9.69e-07,1.0750744044267116e-07,0.0,8e-19
32,,-3,3,6,9,C,-pp,28910.971,2.137,4337.4233,0.2374,B-,,,9,31037.202,2.293,9.031037202,2.293e-06,2.539021763183741e-07,0.0,0.1265
33,0,6,8,2,10,He,-nn,49197.147,92.848,2995.134,9.2848,B-,16144.5191,93.7152,10,52815.306,99.676,10.052815306,9.9676e-05,9.915232396690766e-06,0.0,3.1e-21
