Z	species	charge_state	el_name	isoelectric	ground_shells	groud_level	ionized_level	ie	ie_err	reference
16	SIII	2	Sulfur	Si	Ne3s23p2	3P0	3p2P°1/2	34.86	0.04	L11770
16	SIV	3	Sulfur	Al	Ne3s23p	2P°1/2	3s21S0	47.222	0.012	L7237
16	SV	4	Sulfur	Mg	Ne3s2	1S0	3s2S1/2	72.5945	0.0004	L7237
16	SVI	5	Sulfur	Na	Ne3s	2S1/2	2p61S0	88.0529	0.0004	L7237,L4882
16	SVII	6	Sulfur	Ne	1s22s22p6	1S0	2p52P°3/2	280.954	0.007	L9896
16	SVIII	7	Sulfur	F	1s22s22p5	2P°3/2	2p43P2	328.794	0.007	L11242
16	SIX	8	Sulfur	O	1s22s22p4	3P2	2p34S°3/2	379.84	0.21	L11770
16	SX	9	Sulfur	N	1s22s22p3	4S°3/2	2p23P0	447.7	0.3	L11770
16	SXI	10	Sulfur	C	1s22s22p2	3P0	2p2P°1/2	504.55	0.12	L11770
16	SXII	11	Sulfur	B	1s22s22p	2P°1/2	2s21S0	564.41	0.05	L11770
16	SXIII	12	Sulfur	Be	1s22s2	1S0	2s2S1/2	651.96	0.12	L11770
16	SXIV	13	Sulfur	Li	1s22s	2S1/2	1s21S0	706.994	0.007	L16264c99
16	SXV	14	Sulfur	He	1s2	1S0	1s2S1/2	3223.7807	0.0003	L12128
16	SXVI	15	Sulfur	H	1s	2S1/2		3494.1879	0.0005	L7188
17	ClI	0	Chlorine	Cl	Ne3s23p5	2P°3/2	3p43P2	12.967633	0.000016	L19191
17	ClII	1	Chlorine	S	Ne3s23p4	3P2	3p34S°3/2	23.81364	0.00012	L1617
17	ClIII	2	Chlorine	P	Ne3s23p3	4S°3/2	3p23P0	39.80	0.11	L11770
17	ClIV	3	Chlorine	Si	Ne3s23p2	3P0	3p2P°1/2	53.24	0.12	L11770
17	ClV	4	Chlorine	Al	Ne3s23p	2P°1/2	3s21S0	67.68	0.10	L11770
17	ClVI	5	Chlorine	Mg	Ne3s2	1S0	3s2S1/2	96.94	0.04	L11770
17	ClVII	6	Chlorine	Na	Ne3s	2S1/2	2p61S0	114.2013	0.0006	L6356
17	ClVIII	7	Chlorine	Ne	1s22s22p6	1S0	2p52P°3/2	348.306	0.007	L6972
17	ClIX	8	Chlorine	F	1s22s22p5	2P°3/2	2p43P2	400.851	0.012	L9369
17	ClX	9	Chlorine	O	1s22s22p4	3P2	2p34S°3/2	456.7	0.4	L11770
17	ClXI	10	Chlorine	N	1s22s22p3	4S°3/2	2p23P0	530.0	0.4	L11770
